 ,Branch_ID,Node_ID,X,Y
750,12,16,1490.000,1231.000
751,13,0,1570.500,414.000
752,13,1,1566.494,405.188
753,13,2,1562.489,396.375
754,13,3,1558.490,387.560
755,13,4,1554.497,378.742
756,13,5,1550.504,369.924
757,13,6,1546.532,361.097
758,13,7,1542.584,352.259
759,13,8,1538.635,343.421
760,13,9,1533.396,335.281
761,13,10,1527.925,327.296
762,13,11,1522.453,319.310
763,13,12,1516.592,311.607
764,13,13,1510.292,304.258
765,13,14,1503.993,296.908
766,13,15,1497.693,289.558
767,13,16,1492.401,281.454
768,13,17,1487.678,273.003
769,13,18,1481.254,265.763
770,13,19,1474.034,259.316
771,13,20,1471.127,250.082
772,13,21,1470.000,240.500
